Date,Comment,tokens_stopword,clean_text,stemmed
2026-03-16T00:26:59Z,"['ibu', 'lihat', 'kondisi', 'geopolitik', 'saat', 'ini', 'semua', 'negara', 'tertekan', 'tidak', 'hanya', 'indonesia']","['ibu', 'lihat', 'kondisi', 'geopolitik', 'semua', 'negara', 'tertekan', 'tidak', 'indonesia']",ibu lihat kondisi geopolitik semua negara tertekan tidak indonesia,ibu lihat kondisi geopolitik semua negara tekan tidak indonesia
2026-03-11T15:34:42Z,"['bareng', 'pemerintah', 'prabowo', 'kita', 'bisa', 'bawa', 'perubahan', 'asli']","['bareng', 'pemerintah', 'prabowo', 'bawa', 'perubahan', 'asli']",bareng pemerintah prabowo bawa perubahan asli,bareng perintah prabowo bawa ubah asli
2026-03-11T07:03:32Z,"['yang', 'namanya', 'kebijakan', 'sudah', 'semestinya', 'memilih', 'dari', 'yang', 'terbaik']","['namanya', 'kebijakan', 'semestinya', 'memilih', 'terbaik']",namanya kebijakan semestinya memilih terbaik,nama bijak mesti pilih baik
2026-03-11T05:35:41Z,"['bapak', 'tolong', 'saya', 'bapak']",[],,
2026-03-10T19:12:12Z,"['ini', 'seminar', 'kan', 'pak']","['seminar', 'kan']",seminar kan,seminar kan
2026-03-08T02:13:02Z,['mantap'],['mantap'],mantap,mantap
2026-03-05T22:18:31Z,['tkh'],['tkh'],tkh,tkh
2026-03-05T17:44:01Z,"['orang', 'yang', 'optimistis']","['orang', 'optimistis']",orang optimistis,orang optimistis
2026-03-04T17:53:31Z,"['this', 'video', 'was', 'amazing', 'learned', 'lot']","['this', 'video', 'was', 'amazing', 'learned', 'lot']",this video was amazing learned lot,this video was amazing learned lot
2026-03-04T04:43:25Z,"['ada', 'aspek', 'yang', 'terlewat', 'yaitu', 'aspek', 'kapasitas', 'wadah', 'kapasitas', 'ruang', 'ekonomi', 'kinerja', 'tata', 'ruang', 'ekonomi', 'ekologi']","['aspek', 'terlewat', 'aspek', 'kapasitas', 'wadah', 'kapasitas', 'ruang', 'ekonomi', 'kinerja', 'tata', 'ruang', 'ekonomi', 'ekologi']",aspek terlewat aspek kapasitas wadah kapasitas ruang ekonomi kinerja tata ruang ekonomi ekologi,aspek lewat aspek kapasitas wadah kapasitas ruang ekonomi kerja tata ruang ekonomi ekologi
2026-03-04T04:13:19Z,['hdhdhs'],['hdhdhs'],hdhdhs,hdhdhs
2026-03-03T19:30:40Z,"['bener', 'obrolan', 'kwalitas', 'hebat', 'obrolan', 'yang', 'bisa', 'dipahami', 'marilah', 'kita', 'belajar', 'dari', 'sinikita', 'tahu', 'mengapa', 'pak', 'purbaya', 'banyak', 'yang', 'tidak', 'suka', 'karena', 'idenya', 'yang', 'luar', 'biasa', 'dan', 'meraka', 'akan', 'merasa', 'tidak', 'bisa', 'bergerak', 'leluasa', 'lagi', 'bismillah', 'smoga', 'indonesi', 'bisa', 'membaik', 'dan', 'membaik', 'lagi']","['bener', 'obrolan', 'kwalitas', 'hebat', 'obrolan', 'dipahami', 'marilah', 'belajar', 'sinikita', 'tahu', 'purbaya', 'banyak', 'tidak', 'suka', 'idenya', 'luar', 'biasa', 'meraka', 'merasa', 'tidak', 'bergerak', 'leluasa', 'bismillah', 'smoga', 'indonesi', 'membaik', 'membaik']",bener obrolan kwalitas hebat obrolan dipahami marilah belajar sinikita tahu purbaya banyak tidak suka idenya luar biasa meraka merasa tidak bergerak leluasa bismillah smoga indonesi membaik membaik,bener obrol kwalitas hebat obrol paham mari ajar sinikita tahu purbaya banyak tidak suka ide luar biasa raka rasa tidak gerak leluasa bismillah smoga indonesi baik baik
2026-03-03T04:42:08Z,"['yang', 'ini', 'anak', 'bawang', 'herr']","['anak', 'bawang', 'herr']",anak bawang herr,anak bawang herr
2026-03-02T20:26:41Z,"['gaji', 'guru', 'honoer']","['gaji', 'guru', 'honoer']",gaji guru honoer,gaji guru honoer
2026-03-02T11:23:32Z,"['dokter', 'umum']","['dokter', 'umum']",dokter umum,dokter umum
2026-02-27T08:15:06Z,"['allah', 'aku', 'poso']","['allah', 'aku', 'poso']",allah aku poso,allah aku poso
2026-02-27T03:02:37Z,"['tidak', 'hanya', 'pintar', 'pak', 'tapi', 'nasionalisme', 'dan', 'patriotisme']","['tidak', 'pintar', 'nasionalisme', 'patriotisme']",tidak pintar nasionalisme patriotisme,tidak pintar nasionalisme patriotisme
2026-02-26T16:55:37Z,"['dengerin', 'obrolan', 'yang', 'luar', 'biasa', 'dari', 'orang', 'pintar', 'yang', 'menuangkan', 'raga', 'dan', 'pikiran', 'untuk', 'bagaimana', 'indonesia', 'bisa', 'lebih', 'baik', 'dan', 'maju', 'kedepannyaproud']","['dengerin', 'obrolan', 'luar', 'biasa', 'orang', 'pintar', 'menuangkan', 'raga', 'pikiran', 'bagaimana', 'indonesia', 'lebih', 'baik', 'maju', 'kedepannyaproud']",dengerin obrolan luar biasa orang pintar menuangkan raga pikiran bagaimana indonesia lebih baik maju kedepannyaproud,dengerin obrol luar biasa orang pintar tuang raga pikir bagaimana indonesia lebih baik maju kedepannyaproud
2026-02-26T16:44:47Z,"['gue', 'nonton', 'hampe', 'hbs', 'ful', 'gila', 'sih', 'bermanfaat', 'sekali', 'sih', 'obrolannya']","['gue', 'nonton', 'hampe', 'hbs', 'ful', 'gila', 'bermanfaat', 'sekali', 'obrolannya']",gue nonton hampe hbs ful gila bermanfaat sekali obrolannya,gue nonton hampe hbs ful gila manfaat sekali obrol
2026-02-26T08:32:26Z,"['economic', 'electrical', 'engineering', 'think', 'that', 'will', 'build', 'indoesian', 'future']","['economic', 'electrical', 'engineering', 'think', 'that', 'will', 'build', 'indoesian', 'future']",economic electrical engineering think that will build indoesian future,economic electrical engineering think that will build indoesian future
2026-02-26T06:47:02Z,[],[],,
2026-02-26T05:55:52Z,['assalamualaikum'],['assalamualaikum'],assalamualaikum,assalamualaikum
2026-02-25T05:20:00Z,"['tahun', 'pak', 'purbaya', 'president', 'wakil', 'president', 'pak', 'dharma']","['tahun', 'purbaya', 'president', 'wakil', 'president', 'dharma']",tahun purbaya president wakil president dharma,tahun purbaya president wakil president dharma
2026-02-24T10:08:11Z,"['istri', 'pak', 'pur', 'keren']","['istri', 'purbaya', 'keren']",istri purbaya keren,istri purbaya keren
2026-02-23T21:11:58Z,"['percuma', 'kalo', 'koruptor', 'masuk', 'kabinet', 'pak']","['percuma', 'kalo', 'koruptor', 'masuk', 'kabinet']",percuma kalo koruptor masuk kabinet,percuma kalo koruptor masuk kabinet
2026-02-23T14:32:09Z,"['orang', 'seperti', 'ini', 'yang', 'menjadi', 'presiden']","['orang', 'menjadi', 'presiden']",orang menjadi presiden,orang jadi presiden
2026-02-22T18:04:19Z,"['masih', 'bilang', 'sekolah', 'tidak', 'penting']","['bilang', 'sekolah', 'tidak', 'penting']",bilang sekolah tidak penting,bilang sekolah tidak penting
2026-02-22T17:58:40Z,"['apakah', 'mbg', 'tepat', 'sasaran', 'saya', 'rasa', 'dana', 'hanya', 'untuk', 'sarana', 'dan', 'distribusi']","['mbg', 'tepat', 'sasaran', 'rasa', 'dana', 'sarana', 'distribusi']",mbg tepat sasaran rasa dana sarana distribusi,mbg tepat sasar rasa dana sarana distribusi
